CVE_ENT,CVE_MUN,,cluster
1,1,0,1
1,2,0,1
1,3,0,1
1,4,0,1
1,5,0,1
1,6,0,1
1,7,0,1
1,9,0,1
1,10,0,1
1,11,0,1
2,1,0,1
2,2,0,1
2,3,0,2
2,4,0,1
2,5,0,1
2,5,1,2
3,1,0,2
3,2,0,2
3,3,0,2
3,8,0,2
3,9,0,2
4,1,0,2
4,2,0,2
4,3,0,2
4,4,0,2
4,5,0,2
4,6,0,2
4,7,0,2
4,8,0,2
4,9,0,2
4,10,0,2
4,11,0,2
5,2,0,2
5,3,0,2
5,4,0,2
5,7,0,2
5,9,0,2
5,10,0,2
5,17,0,2
5,18,0,2
5,20,0,2
5,22,0,2
5,23,0,2
5,24,0,2
5,25,0,2
5,27,0,2
5,28,0,2
5,30,0,2
5,31,0,2
5,32,0,2
5,33,0,2
5,35,0,2
5,37,0,2
5,38,0,2
6,1,0,0
6,2,0,2
6,3,0,0
6,3,1,2
6,4,0,0
6,5,0,0
6,6,0,0
6,7,0,2
6,8,0,0
6,9,0,0
6,10,0,2
7,1,0,2
7,2,0,2
7,3,0,2
7,4,0,2
7,6,0,2
7,9,0,2
7,13,0,2
7,15,0,2
7,17,0,2
7,18,0,2
7,19,0,2
7,20,0,2
7,21,0,2
7,23,0,2
7,25,0,2
7,27,0,2
7,28,0,2
7,29,0,2
7,30,0,2
7,31,0,2
7,32,0,2
7,33,0,2
7,34,0,2
7,35,0,2
7,37,0,2
7,40,0,2
7,41,0,2
7,46,0,2
7,47,0,2
7,48,0,2
7,49,0,2
7,51,0,2
7,52,0,2
7,53,0,2
7,55,0,2
7,57,0,2
7,59,0,2
7,61,0,2
7,65,0,2
7,66,0,2
7,67,0,2
7,68,0,2
7,69,0,2
7,71,0,2
7,74,0,2
7,75,0,2
7,76,0,2
7,78,0,2
7,79,0,2
7,80,0,2
7,81,0,2
7,82,0,2
7,83,0,2
7,85,0,2
7,86,0,2
7,87,0,2
7,89,0,2
7,92,0,2
7,93,0,2
7,94,0,2
7,96,0,2
7,97,0,2
7,99,0,2
7,101,0,2
7,102,0,2
7,103,0,2
7,105,0,2
7,106,0,2
7,107,0,2
7,108,0,2
7,109,0,2
7,111,0,2
7,112,0,2
7,114,0,2
7,115,0,2
8,1,0,0
8,2,0,0
8,3,0,0
8,9,0,0
8,10,0,0
8,11,0,0
8,12,0,0
8,17,0,2
8,19,0,2
8,21,0,2
8,22,0,0
8,27,0,0
8,29,0,0
8,30,0,0
8,31,0,0
8,32,0,2
8,35,0,0
8,36,0,0
8,37,0,0
8,38,0,0
8,40,0,0
8,45,0,0
8,48,0,0
8,50,0,0
8,51,0,0
8,52,0,0
8,54,0,2
9,2,0,2
9,3,0,0
9,4,0,0
9,5,0,0
9,6,0,0
9,7,0,0
9,8,0,0
9,9,0,0
9,10,0,0
9,11,0,0
9,12,0,0
9,13,0,0
9,14,0,0
9,15,0,0
9,16,0,0
9,17,0,0
10,1,0,0
10,4,0,0
10,5,0,0
10,6,0,0
10,7,0,0
10,8,0,0
10,9,0,0
10,10,0,0
10,11,0,0
10,12,0,0
10,15,0,0
10,16,0,0
10,17,0,0
10,20,0,0
10,21,0,0
10,22,0,0
10,23,0,0
10,24,0,0
10,28,0,0
10,31,0,0
10,32,0,0
10,35,0,0
10,36,0,0
10,38,0,0
10,39,0,0
11,1,0,0
11,2,0,0
11,3,0,0
11,5,0,0
11,7,0,0
11,8,0,0
11,9,0,0
11,11,0,0
11,14,0,0
11,15,0,0
11,17,0,0
11,18,0,0
11,19,0,0
11,20,0,0
11,23,0,0
11,25,0,0
11,27,0,0
11,28,0,0
11,29,0,0
11,30,0,0
11,31,0,0
11,32,0,0
11,33,0,0
11,35,0,0
11,37,0,0
11,41,0,0
11,42,0,0
11,46,0,0
12,1,0,0
12,3,0,0
12,4,0,0
12,7,0,0
12,9,0,0
12,10,0,0
12,11,0,0
12,12,0,0
12,14,0,0
12,17,0,0
12,18,0,0
12,20,0,0
12,21,0,0
12,22,0,0
12,23,0,0
12,25,0,0
12,27,0,0
12,28,0,0
12,29,0,0
12,30,0,0
12,33,0,0
12,34,0,0
12,35,0,0
12,36,0,0
12,38,0,0
12,39,0,0
12,40,0,0
12,45,0,0
12,46,0,0
12,47,0,0
12,48,0,0
12,49,0,0
12,52,0,0
12,53,0,0
12,55,0,0
12,56,0,0
12,57,0,0
12,59,0,0
12,61,0,0
12,62,0,0
12,64,0,0
12,66,0,0
12,68,0,0
12,72,0,0
12,73,0,0
12,74,0,0
12,75,0,0
12,76,0,0
12,78,0,0
13,1,0,0
13,2,0,0
13,3,0,0
13,7,0,0
13,9,0,0
13,10,0,0
13,13,0,0
13,16,0,0
13,17,0,0
13,19,0,0
13,20,0,0
13,21,0,0
13,22,0,0
13,24,0,0
13,25,0,0
13,26,0,0
13,27,0,0
13,28,0,0
13,29,0,0
13,30,0,0
13,32,0,0
13,37,0,0
13,41,0,0
13,44,0,0
13,46,0,0
13,48,0,0
13,50,0,0
13,51,0,0
13,55,0,0
13,56,0,0
13,57,0,0
13,58,0,0
13,59,0,0
13,60,0,0
13,61,0,0
13,62,0,0
13,63,0,0
13,64,0,0
13,65,0,0
13,66,0,0
13,67,0,0
13,68,0,0
13,69,0,0
13,70,0,0
13,73,0,0
13,74,0,0
13,75,0,0
13,76,0,0
13,77,0,0
13,81,0,0
13,83,0,0
13,84,0,0
14,2,0,0
