,CONTROL,VIV_SEL,HOGAR,RESUL_H,N_INF,R_SEL,TOT_PER,FAC_HOG,DOM,EST,UPM
0,10002,1,1,2,1,1.0,1,238,1,6,1
1,10002,2,1,2,1,1.0,4,238,1,6,1
2,10002,4,1,2,1,1.0,3,238,1,6,1
3,10002,5,1,2,1,1.0,1,238,1,6,1
4,10004,1,1,2,1,2.0,4,179,1,6,2
5,10004,2,1,2,2,3.0,6,179,1,6,2
6,10004,3,1,2,1,2.0,4,179,1,6,2
7,10004,4,1,2,1,1.0,5,179,1,6,2
8,10004,5,1,2,2,1.0,5,179,1,6,2
9,10005,1,1,1,3,2.0,6,175,1,6,3
10,10005,2,1,2,1,2.0,3,175,1,6,3
11,10005,3,1,2,1,1.0,1,175,1,6,3
12,10005,4,1,1,2,1.0,3,175,1,6,3
13,10005,5,1,1,2,1.0,2,175,1,6,3
14,10006,1,1,2,4,6.0,7,152,1,6,4
15,10006,2,1,2,1,1.0,4,152,1,6,4
16,10006,3,1,2,8,4.0,13,152,1,6,4
17,10006,4,1,1,1,1.0,2,152,1,6,4
18,10006,5,1,2,1,1.0,3,152,1,6,4
19,10007,1,1,2,2,1.0,2,236,1,5,5
20,10007,2,1,2,1,2.0,2,236,1,5,5
21,10007,3,1,2,3,3.0,5,236,1,5,5
22,10007,4,1,1,1,2.0,4,236,1,5,5
23,10007,5,1,2,1,1.0,1,236,1,5,5
24,10011,1,1,1,2,2.0,5,209,1,5,6
25,10011,2,1,1,1,1.0,1,209,1,5,6
26,10011,3,1,2,1,1.0,2,209,1,5,6
27,10011,4,1,1,2,1.0,5,209,1,5,6
28,10011,5,1,1,1,1.0,3,209,1,5,6
29,10012,1,1,2,1,2.0,2,180,1,7,7
30,10012,2,1,2,1,1.0,2,180,1,7,7
31,10012,3,1,1,2,1.0,6,180,1,7,7
32,10012,4,1,2,4,4.0,5,180,1,7,7
33,10012,5,1,2,2,1.0,3,180,1,7,7
34,10014,1,1,2,1,1.0,1,177,1,6,8
35,10014,2,1,2,1,1.0,3,177,1,6,8
36,10014,5,1,1,1,1.0,2,177,1,6,8
37,10016,1,1,1,5,5.0,5,191,1,6,9
38,10016,2,1,2,1,2.0,2,191,1,6,9
39,10016,3,1,2,1,2.0,3,191,1,6,9
40,10016,4,1,2,3,3.0,5,191,1,6,9
41,10017,1,1,2,2,1.0,5,229,1,5,10
42,10017,2,1,2,2,3.0,7,229,1,5,10
43,10017,3,1,2,2,2.0,5,229,1,5,10
44,10017,4,1,2,2,2.0,4,229,1,5,10
45,10017,5,1,2,3,3.0,4,229,1,5,10
46,10018,1,1,1,2,2.0,6,222,1,6,11
47,10018,2,1,2,1,2.0,4,222,1,6,11
48,10018,3,1,2,1,2.0,3,222,1,6,11
49,10018,5,1,1,1,4.0,6,222,1,6,11
50,10019,1,1,2,1,4.0,6,125,1,6,12
51,10019,3,1,2,1,1.0,1,125,1,6,12
52,10019,4,1,2,1,1.0,1,125,1,6,12
53,10019,5,1,2,1,1.0,1,125,1,6,12
54,10021,1,1,2,2,3.0,3,227,1,7,13
55,10021,2,1,2,2,1.0,2,227,1,7,13
56,10021,3,1,2,1,1.0,1,227,1,7,13
57,10021,5,1,2,4,1.0,4,227,1,7,13
58,10025,1,1,2,1,1.0,3,307,1,5,14
59,10025,3,1,2,2,2.0,3,307,1,5,14
60,10025,4,1,2,2,1.0,3,307,1,5,14
61,10025,5,1,2,2,1.0,2,307,1,5,14
62,10027,1,1,2,4,5.0,5,204,1,5,15
63,10027,2,1,1,2,1.0,6,204,1,5,15
64,10027,3,1,2,2,3.0,5,204,1,5,15
65,10027,4,1,1,2,1.0,2,204,1,5,15
66,10028,1,1,2,3,1.0,6,174,1,6,16
67,10028,2,1,2,3,1.0,6,174,1,6,16
68,10029,1,1,2,1,1.0,1,227,1,5,17
69,10029,2,1,2,3,1.0,5,227,1,5,17
70,10029,3,1,2,1,3.0,6,227,1,5,17
71,10029,4,1,2,1,1.0,1,227,1,5,17
72,10029,4,2,2,1,1.0,1,227,1,5,17
73,10029,4,3,2,2,1.0,2,227,1,5,17
74,10029,5,1,2,2,2.0,2,227,1,5,17
75,10029,5,2,1,1,1.0,3,227,1,5,17
76,10029,5,3,1,1,2.0,4,227,1,5,17
77,10032,1,1,2,2,1.0,5,174,1,5,18
78,10032,2,1,2,3,2.0,6,174,1,5,18
79,10032,3,1,2,1,1.0,1,174,1,5,18
80,10032,4,1,2,1,2.0,4,174,1,5,18
81,10032,5,1,1,2,1.0,5,174,1,5,18
82,10034,1,1,2,4,2.0,4,128,1,6,19
83,10034,2,1,1,4,4.0,5,128,1,6,19
84,10034,3,1,2,5,1.0,6,128,1,6,19
85,10034,4,1,1,1,2.0,4,128,1,6,19
86,10034,5,1,2,2,2.0,2,128,1,6,19
87,10037,1,1,1,2,1.0,5,163,1,6,20
88,10037,2,1,2,1,1.0,2,163,1,6,20
89,10037,3,1,1,1,1.0,5,163,1,6,20
90,10037,4,1,1,1,1.0,3,163,1,6,20
91,10037,5,1,1,2,3.0,4,163,1,6,20
92,10039,1,1,2,1,1.0,4,222,1,5,21
93,10039,3,1,2,1,1.0,6,222,1,5,21
94,10039,4,1,2,2,2.0,4,222,1,5,21
95,10039,5,1,1,1,1.0,4,222,1,5,21
96,10043,1,1,1,1,1.0,5,187,1,6,22
97,10043,2,1,1,2,3.0,7,187,1,6,22
98,10043,4,1,2,1,1.0,3,187,1,6,22
99,10043,5,1,1,1,1.0,5,187,1,6,22
100,10045,1,1,2,1,1.0,2,161,1,6,23
101,10045,2,1,2,1,2.0,2,161,1,6,23
102,10045,3,1,1,2,7.0,7,161,1,6,23
103,10045,4,1,2,2,2.0,10,161,1,6,23
104,10045,5,1,2,2,1.0,2,161,1,6,23
105,10046,1,1,2,1,1.0,1,166,1,6,24
106,10046,2,1,1,2,2.0,4,166,1,6,24
107,10046,3,1,2,1,1.0,2,166,1,6,24
108,10046,4,1,2,1,2.0,3,166,1,6,24
109,10046,5,1,2,2,1.0,5,166,1,6,24
110,10048,2,1,1,1,1.0,3,180,1,6,25
111,10048,4,1,2,2,4.0,5,180,1,6,25
112,10048,5,1,1,1,5.0,6,180,1,6,25
113,10049,1,1,2,1,1.0,1,234,1,5,26
114,10049,2,1,1,2,2.0,4,234,1,5,26
115,10049,3,1,2,2,3.0,9,234,1,5,26
116,10049,4,1,1,1,2.0,2,234,1,5,26
117,10049,5,1,2,2,1.0,4,234,1,5,26
118,10050,1,1,1,1,2.0,2,209,1,5,27
119,10050,3,1,1,1,1.0,1,209,1,5,27
120,10050,4,1,2,1,1.0,4,209,1,5,27
121,10051,1,1,1,2,1.0,5,205,1,5,28
122,10051,2,1,1,1,2.0,5,205,1,5,28
123,10051,3,1,2,1,1.0,1,205,1,5,28
124,10051,4,1,2,3,1.0,4,205,1,5,28
125,10051,5,1,2,1,1.0,1,205,1,5,28
126,10057,1,1,2,3,1.0,3,206,1,7,29
127,10057,2,1,1,1,2.0,5,206,1,7,29
128,10057,4,1,2,2,2.0,5,206,1,7,29
129,10057,5,1,2,2,1.0,2,206,1,7,29
130,10058,2,1,2,2,2.0,4,157,1,6,30
131,10058,3,1,1,1,2.0,4,157,1,6,30
132,10058,4,1,1,1,2.0,3,157,1,6,30
133,10058,4,2,2,1,2.0,2,157,1,6,30
134,10058,5,1,2,2,2.0,4,157,1,6,30
135,10059,1,1,1,2,2.0,5,202,1,7,31
136,10059,4,1,1,1,1.0,4,202,1,7,31
137,10059,5,1,1,3,4.0,5,202,1,7,31
138,10062,1,1,1,2,2.0,4,187,1,5,32
139,10062,2,1,1,1,2.0,3,187,1,5,32
140,10062,3,1,1,1,1.0,4,187,1,5,32
141,10062,4,1,1,1,1.0,1,187,1,5,32
142,10062,5,1,2,1,2.0,5,187,1,5,32
143,10063,1,1,2,4,4.0,5,187,1,7,33
144,10063,2,1,2,1,1.0,1,187,1,7,33
145,10063,3,1,2,1,1.0,2,187,1,7,33
146,10063,4,1,2,3,1.0,5,187,1,7,33
147,10063,5,1,1,2,1.0,4,187,1,7,33
148,10065,1,1,2,1,1.0,4,190,1,6,34
149,10065,2,1,1,1,1.0,3,190,1,6,34
150,10065,3,1,1,1,1.0,2,190,1,6,34
151,10065,4,1,1,1,1.0,4,190,1,6,34
152,10065,5,1,1,2,1.0,5,190,1,6,34
153,10066,1,1,1,2,1.0,2,127,1,7,35
154,10066,4,1,1,3,3.0,5,127,1,7,35
155,10066,5,1,2,1,1.0,4,127,1,7,35
156,10067,1,1,2,1,3.0,4,188,1,7,36
157,10067,3,1,2,1,1.0,2,188,1,7,36
158,10067,4,1,2,3,3.0,3,188,1,7,36
159,10067,5,1,2,2,2.0,5,188,1,7,36
160,10068,1,1,2,1,3.0,3,173,1,5,37
161,10068,2,1,2,1,3.0,6,173,1,5,37
162,10068,3,1,2,2,1.0,5,173,1,5,37
163,10068,4,1,1,1,2.0,4,173,1,5,37
164,10068,5,1,1,1,1.0,2,173,1,5,37
165,10069,1,1,2,2,2.0,4,174,1,5,38
166,10069,2,1,2,1,2.0,4,174,1,5,38
167,10069,3,1,2,1,1.0,2,174,1,5,38
168,10069,4,1,2,1,1.0,3,174,1,5,38
169,10069,5,1,2,3,2.0,5,174,1,5,38
170,10071,1,1,1,2,3.0,3,144,1,6,39
171,10071,2,1,2,1,1.0,4,144,1,6,39
172,10071,3,1,2,1,3.0,4,144,1,6,39
173,10071,4,1,1,2,2.0,4,144,1,6,39
174,10071,5,1,2,1,1.0,3,144,1,6,39
175,10075,1,1,1,2,2.0,4,115,1,6,40
176,10075,3,1,1,2,2.0,2,115,1,6,40
177,10075,4,1,2,1,2.0,4,115,1,6,40
178,10075,5,1,2,2,1.0,6,115,1,6,40
179,10076,1,1,2,1,2.0,4,216,1,5,41
180,10076,2,1,1,3,2.0,6,216,1,5,41
181,10076,3,1,2,1,1.0,5,216,1,5,41
182,10076,5,1,2,2,2.0,8,216,1,5,41
183,10079,1,1,2,2,2.0,4,188,1,6,42
184,10079,3,1,1,1,1.0,2,188,1,6,42
185,10079,3,2,2,1,1.0,1,188,1,6,42
186,10079,4,1,1,2,2.0,3,188,1,6,42
187,10079,5,1,2,2,4.0,4,188,1,6,42
188,10081,1,1,2,1,2.0,2,218,1,5,43
189,10081,2,1,2,1,3.0,3,218,1,5,43
190,10081,3,1,2,2,1.0,4,218,1,5,43
191,10081,4,1,2,1,4.0,6,218,1,5,43
192,10081,5,1,2,1,1.0,8,218,1,5,43
193,10082,1,1,1,1,1.0,2,229,1,7,44
194,10082,2,1,2,1,1.0,2,229,1,7,44
195,10082,3,1,2,2,2.0,2,229,1,7,44
196,10082,4,1,1,1,1.0,2,229,1,7,44
197,10082,5,1,1,2,1.0,4,229,1,7,44
198,10083,1,1,2,2,1.0,4,235,1,6,45
199,10083,2,1,2,2,1.0,2,235,1,6,45
200,10083,4,1,2,1,1.0,1,235,1,6,45
201,10083,5,1,2,1,1.0,4,235,1,6,45
202,10084,3,1,1,1,2.0,3,194,1,6,46
203,10084,4,1,2,2,1.0,3,194,1,6,46
204,10084,5,1,1,2,1.0,4,194,1,6,46
205,10085,1,1,2,1,2.0,5,200,1,5,47
206,10085,2,1,2,1,1.0,3,200,1,5,47
207,10085,3,1,2,1,1.0,4,200,1,5,47
208,10085,4,1,1,3,3.0,3,200,1,5,47
209,10085,5,1,2,1,1.0,2,200,1,5,47
210,10086,1,1,2,1,1.0,2,202,1,5,48
211,10086,2,1,2,1,1.0,5,202,1,5,48
212,10086,3,1,2,2,1.0,2,202,1,5,48
213,10086,4,1,2,2,2.0,5,202,1,5,48
214,10086,5,1,2,4,3.0,4,202,1,5,48
215,10090,1,1,1,2,2.0,2,157,1,6,49
216,10090,2,1,2,2,2.0,4,157,1,6,49
217,10090,3,1,1,2,2.0,4,157,1,6,49
218,10090,4,1,1,2,2.0,3,157,1,6,49
219,10090,5,1,2,2,2.0,3,157,1,6,49
220,10092,1,1,2,1,1.0,4,134,1,6,50
221,10092,2,1,1,2,1.0,5,134,1,6,50
222,10092,3,1,2,2,1.0,2,134,1,6,50
223,10092,4,1,2,2,1.0,4,134,1,6,50
224,10092,5,1,1,2,2.0,7,134,1,6,50
225,10094,1,1,2,2,2.0,5,279,1,5,51
226,10094,2,1,2,2,2.0,5,279,1,5,51
227,10094,3,1,2,2,2.0,7,279,1,5,51
228,10094,4,1,1,1,1.0,3,279,1,5,51
229,10095,1,1,2,2,1.0,2,248,1,6,52
230,10095,2,1,2,2,4.0,4,248,1,6,52
231,10095,3,1,3,1,1.0,3,0,1,6,52
232,10095,4,1,1,1,2.0,4,248,1,6,52
233,10095,5,1,2,2,1.0,6,248,1,6,52
234,10097,1,1,2,1,2.0,4,233,1,5,53
235,10097,2,1,2,2,3.0,3,233,1,5,53
236,10097,3,1,2,2,1.0,2,233,1,5,53
237,10097,4,1,3,1,2.0,3,0,1,5,53
238,10097,5,1,2,1,1.0,2,233,1,5,53
239,10099,1,1,2,1,1.0,5,151,1,6,54
240,10099,2,1,2,2,1.0,2,151,1,6,54
241,10099,3,1,2,2,1.0,7,151,1,6,54
242,10099,4,1,1,3,3.0,3,151,1,6,54
243,10100,1,1,1,1,4.0,5,146,1,6,55
244,10100,2,1,1,2,1.0,5,146,1,6,55
245,10100,3,1,2,2,2.0,3,146,1,6,55
246,10100,4,1,2,1,2.0,4,146,1,6,55
247,10100,5,1,1,3,3.0,3,146,1,6,55
248,10101,1,1,2,1,4.0,6,134,1,7,56
249,10101,2,1,1,2,2.0,3,134,1,7,56
250,10101,3,1,1,2,1.0,5,134,1,7,56
251,10101,4,1,2,1,1.0,2,134,1,7,56
252,10101,5,1,2,2,6.0,6,134,1,7,56
253,10103,1,1,2,1,1.0,5,187,1,5,57
254,10103,2,1,2,1,1.0,3,187,1,5,57
255,10103,3,1,2,4,4.0,5,187,1,5,57
256,10103,4,1,2,2,8.0,13,187,1,5,57
257,10104,1,1,2,1,3.0,3,180,1,6,58
258,10104,2,1,2,1,1.0,1,180,1,6,58
259,10104,3,1,1,1,1.0,2,180,1,6,58
260,10104,4,1,1,1,4.0,7,180,1,6,58
261,10104,5,1,1,3,1.0,4,180,1,6,58
262,10105,1,1,2,3,3.0,4,187,1,5,59
263,10105,2,1,2,2,2.0,6,187,1,5,59
264,10105,3,1,2,1,2.0,4,187,1,5,59
265,10105,4,1,2,2,2.0,2,187,1,5,59
266,10105,5,1,2,1,1.0,1,187,1,5,59
267,10106,1,1,2,2,2.0,3,181,1,6,60
268,10106,2,1,2,2,1.0,5,181,1,6,60
269,10106,3,1,1,2,2.0,2,181,1,6,60
270,10106,4,1,1,2,2.0,3,181,1,6,60
271,10106,5,1,2,1,1.0,2,181,1,6,60
272,10107,1,1,2,2,1.0,4,182,1,5,61
273,10107,2,1,2,1,2.0,2,182,1,5,61
274,10107,3,1,1,1,2.0,2,182,1,5,61
275,10107,4,1,2,2,1.0,4,182,1,5,61
276,10107,5,1,1,3,2.0,5,182,1,5,61
277,10109,2,1,2,1,2.0,2,157,1,6,62
278,10109,3,1,1,3,1.0,5,157,1,6,62
279,10109,4,1,1,2,3.0,4,157,1,6,62
280,10109,5,1,2,2,1.0,4,157,1,6,62
281,10112,2,1,2,2,1.0,7,191,1,5,63
282,10112,3,1,2,3,3.0,5,191,1,5,63
283,10112,4,1,2,2,4.0,5,191,1,5,63
284,10112,5,1,1,1,4.0,6,191,1,5,63
285,10114,1,1,1,1,1.0,1,218,1,7,64
286,10114,2,1,1,4,2.0,4,218,1,7,64
287,10114,3,1,1,1,1.0,3,218,1,7,64
288,10114,4,1,2,2,3.0,3,218,1,7,64
289,10114,5,1,2,4,3.0,5,218,1,7,64
290,10115,2,1,2,3,3.0,13,186,1,6,65
291,10115,4,1,2,1,1.0,2,186,1,6,65
292,10115,5,1,2,2,1.0,2,186,1,6,65
293,10117,1,1,2,1,1.0,1,170,1,6,66
294,10117,2,1,1,2,1.0,2,170,1,6,66
295,10117,3,1,2,1,1.0,4,170,1,6,66
296,10117,4,1,2,1,4.0,4,170,1,6,66
297,10117,5,1,1,2,7.0,7,170,1,6,66
298,10118,1,1,1,1,5.0,6,221,1,5,67
299,10118,2,1,1,1,2.0,3,221,1,5,67
300,10118,3,1,1,3,3.0,6,221,1,5,67
301,10118,4,1,2,2,1.0,3,221,1,5,67
302,10118,5,1,2,1,2.0,3,221,1,5,67
303,10124,1,1,1,1,1.0,1,174,1,7,68
304,10124,2,1,1,3,1.0,3,174,1,7,68
305,10124,5,1,1,1,1.0,5,174,1,7,68
306,10126,1,1,2,2,2.0,3,191,1,5,69
307,10126,2,1,1,1,1.0,1,191,1,5,69
308,10126,3,1,2,2,1.0,2,191,1,5,69
